,Hotel,Address,Score,Latitude,Longitude,City
68,The Gore Hotel Starhotels Collezione,190 Queen s Gate Kensington and Chelsea London SW7 5EX United Kingdom,8.6,51.500197899999996,-0.17953570000000002,"London, United Kingdom"
69,The Hoxton Holborn,199 206 High Holborn Camden London WC1V 7BD United Kingdom,9.2,51.5172398,-0.12203239999999999,"London, United Kingdom"
70,Royal Garden Hotel,2 24 Kensington High St Kensington and Chelsea London W8 4PT United Kingdom,8.8,51.50270220000001,-0.1882164,"London, United Kingdom"
71,DoubleTree by Hilton London Ealing,2 8 Hanger Lane Ealing Common London W5 3HN United Kingdom,8.4,51.511521,-0.290706,"London, United Kingdom"
72,DoubleTree by Hilton London Victoria,2 Bridge Place Victoria Westminster Borough London SW1V 1QA United Kingdom,8.4,51.49398,-0.143372,"London, United Kingdom"
73,Montagu Place Hotel,2 Montagu Place Westminster Borough London W1H 2ER United Kingdom,9.1,51.5191009,-0.1592,"London, United Kingdom"
74,H tel Regina,2 place des Pyramides 1st arr 75001 Paris France,9.0,48.8637503,2.3320406000000005,"Paris, France"
75,Mercure Paris Gare De Lyon TGV,2 place Louis Armand 12th arr 75012 Paris France,7.9,48.844294899999994,2.3730938,"Paris, France"
76,Hotel Dupond Smith,2 rue des Guillemites 4th arr 75004 Paris France,9.3,48.857898,2.3571978,"Paris, France"
77,Hotel Indigo Paris Opera,2 Rue Edouard VII 9th arr 75009 Paris France,9.1,48.870437100000004,2.329236,"Paris, France"
78,Novotel Paris Gare De Lyon,2 Rue Hector Malot 12th arr 75012 Paris France,8.5,48.845378499999995,2.3753036,"Paris, France"
79,Park Lane Mews Hotel,2 Stanhope Row Park Lane Westminster Borough London W1J 7BS United Kingdom,7.0,51.505933399999996,-0.14894179999999999,"London, United Kingdom"
80,The Montcalm Marble Arch,2 Wallenberg Place Westminster Borough London W1H 7TN United Kingdom,8.9,51.51505220000001,-0.15923900000000002,"London, United Kingdom"
81,The Royal Horseguards,2 Whitehall Court Westminster Borough London SW1A 2EJ United Kingdom,8.9,51.5054185,-0.12414990000000001,"London, United Kingdom"
82,The Hari London,20 Chesham Place Kensington and Chelsea London SW1X 8HQ United Kingdom,9.2,51.4973203,-0.1562558,"London, United Kingdom"
83,citizenM London Bankside,20 Lavington Street Southwark London SE1 0NZ United Kingdom,9.1,51.5051507,-0.10047239999999999,"London, United Kingdom"
84,Radisson Blu Edwardian Mercer Street,20 Mercer Street Covent Garden Camden London WC2H 9HD United Kingdom,8.7,51.5139275,-0.1271506,"London, United Kingdom"
85,Twenty Nevern Square Hotel,20 Nevern Square Kensington and Chelsea London SW5 9PD United Kingdom,8.3,51.4915712,-0.1963192,"London, United Kingdom"
86,Platine Hotel Spa,20 rue de l Ing nieur Robert Keller 15th arr 75015 Paris France,8.6,48.8473459,2.2832407999999997,"Paris, France"
87,Mercure Paris Centre Tour Eiffel,20 Rue Jean Rey 15th arr 75015 Paris France,8.0,48.8548641,2.2923181,"Paris, France"
88,Mondrian London,20 Upper Ground Southwark London SE1 9PD United Kingdom,9.1,51.5084036,-0.1067988,"London, United Kingdom"
89,Saint James Albany Paris Hotel Spa,202 rue de Rivoli 1st arr 75001 Paris France,8.0,48.8642689,2.3308179,"Paris, France"
90,Mercure Paris Montparnasse Raspail,207 Boulevard Raspail 14th arr 75014 Paris France,8.2,48.8412131,2.3302954,"Paris, France"
91,Mercure Paris Pigalle Sacre Coeur,21 Boulevard De Clichy 9th arr 75009 Paris France,8.3,48.8823398,2.3364764,"Paris, France"
92,The Academy,21 Gower Street Camden London WC1E 6HG United Kingdom,7.8,51.5205441,-0.1308091,"London, United Kingdom"
93,Le Meridien Piccadilly,21 Piccadilly Westminster Borough London W1J 0BH United Kingdom,7.6,51.5094835,-0.13625379999999998,"London, United Kingdom"
94,Mercure Paris Terminus Nord,21 rue de Dunkerque 10th arr 75010 Paris France,7.4,48.8794843,2.3556545,"Paris, France"
95,Royal Garden Champs Elysees,218 220 rue du Faubourg St Honor 8th arr 75008 Paris France,7.3,48.875715500000005,2.3038781000000004,"Paris, France"
96,Montcalm Royal London House City of London,22 25 Finsbury Square City Islington London EC2A 1DX United Kingdom,9.2,51.5218066,-0.0856081,"London, United Kingdom"
97,Novotel Suites Paris Montreuil Vincennes,22 Avenue du professeur lemierre 20th arr 75020 Paris France,7.6,48.8554268,2.4152555,"Paris, France"
98,London Marriott Hotel West India Quay,22 Hertsmere Road Tower Hamlets London E14 4ED United Kingdom,8.9,51.5072713,-0.0211213,"London, United Kingdom"
99,Radisson Blu Portman Hotel London,22 Portman Square Westminster Borough London W1H 7BG United Kingdom,7.9,51.5161911,-0.1579487,"London, United Kingdom"
100,Hilton London Metropole,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,7.5,51.519568799999995,-0.170521,"London, United Kingdom"
101,Maison Albar Hotel Paris C line,23 25 rue de Pont Neuf 1st arr 75001 Paris France,8.9,48.8606187,2.344401,"Paris, France"
102,Henry VIII,23 Leinster Gardens Westminster Borough London W2 3AN United Kingdom,7.0,51.512465500000005,-0.182274,"London, United Kingdom"
103,Goodenough Club,23 Mecklenburgh Square Camden London WC1N 2AD United Kingdom,8.5,51.525535,-0.1180354,"London, United Kingdom"
104,Park Plaza Victoria London,239 Vauxhall Bridge Road Westminster Borough London SW1V 1EQ United Kingdom,8.6,51.4942539,-0.1414756,"London, United Kingdom"
105,Club Quarters Hotel St Paul s,24 Ludgate Hill City of London London EC4M 7DR United Kingdom,8.4,51.51392979999999,-0.101126,"London, United Kingdom"
106,Hotel Elys es Bassano,24 rue Bassano 16th arr 75016 Paris France,7.9,48.8689307,2.2974502999999995,"Paris, France"
107,The Nadler Kensington,25 Courtfield Gardens Kensington and Chelsea London SW5 0PG United Kingdom,9.0,51.4931086,-0.190208,"London, United Kingdom"
108,Novotel Paris Vaugirard Montparnasse,257 Rue De Vaugirard 15th arr 75015 Paris France,7.6,48.8399018,2.3031011,"Paris, France"
109,Mayflower Hotel Apartments,26 28 Trebovir Rd Kensington and Chelsea London SW5 9NJ United Kingdom,7.5,51.4916677,-0.1947475,"London, United Kingdom"
110,Caesar Hotel,26 33 Queens Gardens Westminster Borough London W2 3BE United Kingdom,8.2,51.51346029999999,-0.1833081,"London, United Kingdom"
111,Hotel Xanadu,26 42 Bond Street Ealing London W5 5AA United Kingdom,8.6,51.5117907,-0.306071,"London, United Kingdom"
112,DoubleTree by Hilton London Docklands Riverside,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,8.1,51.5043483,-0.0334436,"London, United Kingdom"
113,Park Grand Paddington Court,27 Devonshire Terrace Westminster Borough London W2 3DP United Kingdom,8.1,51.5135555,-0.180002,"London, United Kingdom"
114,The Zetter Townhouse Marylebone,28 30 Seymour Street Westminster Borough London W1H 7JB United Kingdom,9.3,51.514839,-0.1586656,"London, United Kingdom"
115,Bloomsbury Palace Hotel,29 31 Gower Street Camden London WC1E 6HG United Kingdom,6.8,51.5207945,-0.1310845,"London, United Kingdom"
116,Morgan Mees,2e Hugo de Grootstraat 2 6 Westerpark 1052 LC Amsterdam Netherlands,8.8,52.374371200000006,4.8746196,"Amsterdam, Netherlands"
117,Maison Albar H tel Paris Champs Elys es ex Mac Mahon ,3 avenue Mac Mahon 17th arr 75017 Paris France,8.4,48.87538370000001,2.2944651,"Paris, France"
118,Novotel London Paddington,3 Kingdom Street Sheldon Square Westminster Borough London W2 6BD United Kingdom,8.5,51.519032,-0.1825943,"London, United Kingdom"
119,Hyatt Regency Paris Etoile,3 Place du G n ral Koenig 17th arr 75017 Paris France,7.1,48.8802782,2.2843852000000004,"Paris, France"
120,Hotel Cambon,3 Rue Cambon 1st arr 75001 Paris France,8.3,48.866434999999996,2.3251076,"Paris, France"
121,The Westin Paris Vend me,3 rue de Castiglione 1st arr 75001 Paris France,8.1,48.865739399999995,2.3274415,"Paris, France"
122,H tel Mathis Elys es,3 rue de Ponthieu 8th arr 75008 Paris France,8.7,48.8700325,2.3112736000000003,"Paris, France"
123,South Place Hotel,3 South Place City of London London EC2M 2AF United Kingdom,9.3,51.5189182,-0.0866009,"London, United Kingdom"
124,The Royal Park Hotel,3 Westbourne Terrace Lancaster Gate Westminster Borough London W2 3UL United Kingdom,8.7,51.5142054,-0.17660979999999998,"London, United Kingdom"
125,Henley House Hotel,30 Barkston Gardens Kensington and Chelsea London SW5 0EN United Kingdom,8.6,51.4922348,-0.1914229,"London, United Kingdom"
126,Holiday Inn London Camden Lock,30 Jamestown Road Camden London NW1 7BY United Kingdom,8.6,51.5404555,-0.1460833,"London, United Kingdom"
127,DoubleTree by Hilton London Westminster,30 John Islip St Westminster Borough London SW1P 4DD United Kingdom,8.5,51.493235600000006,-0.1269082,"London, United Kingdom"
128,Blakemore Hyde Park,30 Leinster Gardens Bayswater Westminster Borough London W2 3AN United Kingdom,8.5,51.5129736,-0.1837431,"London, United Kingdom"
129,Rathbone,30 Rathbone Street West End Westminster Borough London W1T 1LB United Kingdom,8.3,51.518680100000005,-0.1354055,"London, United Kingdom"
130,The Queens Gate Hotel,31 34 Queen s Gate Kensington and Chelsea London SW7 5JA United Kingdom,8.2,51.4981225,-0.1799693,"London, United Kingdom"
131,Radisson Blu Edwardian Hampshire,31 36 Leicester Square Westminster Borough London WC2H 7LH United Kingdom,8.7,51.509963,-0.129797,"London, United Kingdom"
132,The Marble Arch London,31 Great Cumberland Place Westminster Borough London W1H 7TA United Kingdom,8.1,51.5151247,-0.1600656,"London, United Kingdom"
133,H tel du Minist re,31 Rue de Surene 8th arr 75008 Paris France,8.8,48.8712877,2.3191903,"Paris, France"
134,Shangri La Hotel at The Shard London,31 St Thomas Street Southwark London SE1 9QU United Kingdom,9.4,51.5044972,-0.0855562,"London, United Kingdom"
135,Park Grand London Kensington,33 37 Hogarth Road Kensington and Chelsea London SW5 0QQ United Kingdom,8.4,51.4938468,-0.19175820000000002,"London, United Kingdom"
136,Madeleine Plaza,33 place de la Madeleine 8th arr 75008 Paris France,8.4,48.8710402,2.3248014,"Paris, France"
137,The Westbridge Hotel,335 337 High Street Stratford Newham London E15 2TF United Kingdom,9.0,51.5373904,-0.0023366999999999997,"London, United Kingdom"
138,Courthouse Hotel Shoreditch,335 337 Old Street Hackney London EC1V 9LL United Kingdom,8.9,51.5273442,-0.0796152,"London, United Kingdom"
139,ME London by Melia,336 337 Strand London Westminster Borough London WC2R 1HA United Kingdom,9.2,51.511879,-0.118552,"London, United Kingdom"
140,Hotel Indigo London Kensington,34 44 Barkston Gardens Kensington and Chelsea London SW5 0EW United Kingdom,9.1,51.4920287,-0.1917801,"London, United Kingdom"
141,Norfolk Towers Paddington,34 Norfolk Place Paddington Westminster Borough London W2 1QW United Kingdom,7.9,51.5162883,-0.1721078,"London, United Kingdom"
142,Best Western Premier Kapital Op ra,34 rue de Moscou 8th arr 75008 Paris France,8.9,48.8814425,2.3235592,"Paris, France"
143,Best Western Maitrise Hotel Edgware Road,346 348 Edgware Road Westminster Borough London W2 1EA United Kingdom,6.6,51.521148,-0.171346,"London, United Kingdom"
144,Georgian House Hotel,35 39 St Georges Drive Westminster Borough London SW1V 4DG United Kingdom,8.4,51.490724,-0.143868,"London, United Kingdom"
145,The Chesterfield Mayfair,35 Charles Street Mayfair Westminster Borough London W1J 5EB United Kingdom,9.1,51.507689899999995,-0.14713579999999998,"London, United Kingdom"
146,Radisson Blu Edwardian Berkshire,350 Oxford Street Westminster Borough London W1C 1BY United Kingdom,8.1,51.5146025,-0.1481978,"London, United Kingdom"
147,Pestana Chelsea Bridge Hotel Spa,354 Queenstown Road Battersea London SW8 4AE United Kingdom,8.6,51.4815995,-0.1481053,"London, United Kingdom"
148,Arbor Hyde Park,36 37 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,8.4,51.512648799999994,-0.1803795,"London, United Kingdom"
149,Hotel Whistler,36 rue de Saint Quentin 10th arr 75010 Paris France,9.2,48.879314,2.3560185000000002,"Paris, France"
150,Nottingham Place Hotel,37 Nottingham Place Westminster Borough London W1U 5LT United Kingdom,8.2,51.522143,-0.153385,"London, United Kingdom"
151,Strand Palace Hotel,372 Strand Westminster Borough London WC2R 0JJ United Kingdom,8.1,51.5110993,-0.1208673,"London, United Kingdom"
152,H tel De Castiglione,38 Rue Du Faubourg Saint Honore 8th arr 75008 Paris France,7.2,48.8691758,2.3205807000000003,"Paris, France"
153,Hilton London Olympia,380 Kensington High Street Kensington and Chelsea London W14 8NL United Kingdom,7.4,51.496739899999994,-0.2064723,"London, United Kingdom"
154,Rubens At The Palace,39 Buckingham Palace Road Westminster Borough London SW1W 0PS United Kingdom,8.7,51.498147100000004,-0.14364920000000003,"London, United Kingdom"
155,every hotel Piccadilly,39 Coventry Street Westminster Borough London W1D 6BZ United Kingdom,8.8,51.51014620000001,-0.13150610000000001,"London, United Kingdom"
156,Millennium Gloucester Hotel London,4 18 Harrington Gardens Kensington and Chelsea London SW7 4LH United Kingdom,7.8,51.493508299999995,-0.1834346,"London, United Kingdom"
157,Fielding Hotel,4 Broad Court Bow Street Covent Garden Westminster Borough London WC2B 5QZ United Kingdom,8.7,51.5139315,-0.12198930000000001,"London, United Kingdom"
158,Holiday Inn London West,4 Portal Way Gypsy Corner A40 London W3 6RT United Kingdom,8.1,51.5210117,-0.2628618,"London, United Kingdom"
159,The Soho Hotel,4 Richmond Mews Westminster Borough London W1D 3DH United Kingdom,9.5,51.5139805,-0.1337948,"London, United Kingdom"
160,Hotel Park Lane Paris,4 Rue La Boetie 8th arr 75008 Paris France,8.7,48.874587899999995,2.3188142999999997,"Paris, France"
161,Andaz London Liverpool Street,40 Liverpool Street City of London London EC2M 7QN United Kingdom,9.0,51.5172825,-0.0812451,"London, United Kingdom"
162,Novotel London Canary Wharf,40 Marsh Wall Tower Hamlets London E14 9TP United Kingdom,9.0,51.5011704,-0.0232607,"London, United Kingdom"
163,citizenM Tower of London,40 trinity square City of London London EC3N 4DJ United Kingdom,9.1,51.510237,-0.0764428,"London, United Kingdom"
164,La Suite West Hyde Park,41 51 Inverness Terrace Westminster Borough London W2 3JN United Kingdom,8.0,51.5126758,-0.1867828,"London, United Kingdom"
165,St James Court A Taj Hotel London,41 54 Buckingham Gate Westminster Borough London SW1E 6AF United Kingdom,8.7,51.4986732,-0.13768670000000002,"London, United Kingdom"
166,Shaftesbury Suites London Marble Arch,41 Great Cumberland Place Westminster Borough London W1H 7LG United Kingdom,8.1,51.515755,-0.1603335,"London, United Kingdom"
167,Grange Strathmore Hotel,41 Queens Gate Gardens Kensington and Chelsea London SW7 5NB United Kingdom,8.0,51.4958184,-0.1813958,"London, United Kingdom"
168,Villa Panth on,41 Rue Des Ecoles 5th arr 75005 Paris France,8.1,48.8488044,2.3469889,"Paris, France"
169,The RE London Shoreditch,419 437 Hackney Road London E2 8PP United Kingdom,7.8,51.531979,-0.061598,"London, United Kingdom"
170,London City Suites,42 46 Chiswell Street City of London London EC1Y 4SB United Kingdom,8.9,51.5206309,-0.09153410000000001,"London, United Kingdom"
171,Mercure Paris Opera Grands Boulevards,42 Rue Des Petites Ecuries 10th arr 75010 Paris France,8.0,48.874066799999994,2.3502172000000003,"Paris, France"
172,St George s Hotel Wembley,43 51 Wembley Hill Road Brent London HA9 8AU United Kingdom,8.9,51.5553678,-0.28649450000000004,"London, United Kingdom"
173,Le Mathurin Hotel Spa,43 Rue des Mathurins 8th arr 75008 Paris France,8.6,48.8732068,2.3239015,"Paris, France"
174,The Justin James Hotel,43 Worple Road Wimbledon London SW19 4JZ United Kingdom,8.3,51.4202661,-0.21126799999999998,"London, United Kingdom"
175,Millennium Hotel London Mayfair,44 Grosvenor Square Westminster Borough London W1K 2HP United Kingdom,7.8,51.510574,-0.1509951,"London, United Kingdom"
176,The Curtain,45 Curtain Road Hackney London EC2A 4PJ United Kingdom,9.1,51.5237209,-0.0806178,"London, United Kingdom"
177,St Martins Lane A Morgans Original,45 St Martin s Lane Westminster Borough London WC2N 4HX United Kingdom,9.0,51.5104696,-0.12658239999999998,"London, United Kingdom"
178,Novotel London Blackfriars,46 Blackfriars Road Southwark London SE1 8NZ United Kingdom,8.7,51.505016499999996,-0.10498310000000001,"London, United Kingdom"
179,The Marylebone Hotel,47 Welbeck Street Westminster Borough London W1G 8DN United Kingdom,8.9,51.51802070000001,-0.1500567,"London, United Kingdom"
180,The Premier Notting Hill,5 7 Princes Square Kensington and Chelsea London W2 4NP United Kingdom,7.3,51.5127453,-0.1926437,"London, United Kingdom"
181,H tel Pont Royal,5 7 Rue De Montalembert 7th arr 75007 Paris France,8.6,48.85656289999999,2.3273623,"Paris, France"
182,H tel Th r se,5 7 Rue Th r se 1st arr 75001 Paris France,9.0,48.8816306,2.2992146,"Paris, France"
183,Best Western Premier Trocadero La Tour,5 bis rue Massenet 16th arr 75016 Paris France,8.0,48.858312700000006,2.2795075000000002,"Paris, France"
184,Holiday Inn London Whitechapel,5 Cavell Street Tower Hamlets London E1 2BP United Kingdom,8.5,51.5154006,-0.05723640000000001,"London, United Kingdom"
185,Washington Mayfair Hotel,5 Curzon St Westminster Borough London W1J 5HL United Kingdom,7.9,51.5060237,-0.151078,"London, United Kingdom"
186,Radisson Blu Edwardian New Providence Wharf,5 Fairmont Avenue Canary Wharf Tower Hamlets London E14 9JB United Kingdom,9.0,51.506557799999996,-0.004514,"London, United Kingdom"
187,Hilton London Tower Bridge,5 More London Place Tooley Street Southwark London SE1 2BY United Kingdom,8.7,51.504575,-0.082675,"London, United Kingdom"
188,Novotel London Wembley,5 Olympic Way Wembley Brent London HA9 0NP United Kingdom,8.9,51.5611271,-0.2787261,"London, United Kingdom"
